game,show,date
622,2843,1997-01-01
624,2844,1997-01-02
628,2845,1997-01-03
631,2846,1997-01-06
632,2847,1997-01-07
4154,2848,1997-01-08
633,2849,1997-01-09
261,2850,1997-01-10
635,2851,1997-01-13
636,2852,1997-01-14
638,2853,1997-01-15
640,2854,1997-01-16
642,2855,1997-01-17
644,2856,1997-01-20
645,2857,1997-01-21
647,2858,1997-01-22
649,2860,1997-01-24
650,2861,1997-01-27
652,2862,1997-01-28
654,2863,1997-01-29
3931,2864,1997-01-30
656,2865,1997-01-31
657,2866,1997-02-03
659,2867,1997-02-04
660,2868,1997-02-05
663,2869,1997-02-06
664,2870,1997-02-07
667,2871,1997-02-10
668,2872,1997-02-11
670,2873,1997-02-12
672,2874,1997-02-13
220,2876,1997-02-17
3936,2877,1997-02-18
3941,2878,1997-02-19
677,2879,1997-02-20
678,2880,1997-02-21
680,2881,1997-02-24
682,2882,1997-02-25
684,2883,1997-02-26
688,2884,1997-02-27
689,2885,1997-02-28
692,2886,1997-03-03
5540,2887,1997-03-04
693,2889,1997-03-06
696,2890,1997-03-07
698,2891,1997-03-10
1323,2893,1997-03-12
1324,2894,1997-03-13
1325,2895,1997-03-14
1326,2896,1997-03-17
1327,2897,1997-03-18
1328,2898,1997-03-19
1329,2899,1997-03-20
1330,2900,1997-03-21
1331,2901,1997-03-24
1332,2902,1997-03-25
1333,2903,1997-03-26
1366,2904,1997-03-27
1367,2905,1997-03-28
1368,2906,1997-03-31
226,2907,1997-04-01
1369,2908,1997-04-02
1370,2909,1997-04-03
1371,2910,1997-04-04
1372,2911,1997-04-07
1373,2912,1997-04-08
1374,2913,1997-04-09
1375,2914,1997-04-10
1376,2915,1997-04-11
1377,2916,1997-04-14
1393,2918,1997-04-16
1394,2919,1997-04-17
1395,2920,1997-04-18
1396,2921,1997-04-21
1397,2922,1997-04-22
1398,2923,1997-04-23
1399,2924,1997-04-24
1400,2925,1997-04-25
3020,2926,1997-04-28
3022,2927,1997-04-29
3023,2928,1997-04-30
3025,2929,1997-05-01
3026,2930,1997-05-02
1401,2931,1997-05-05
1402,2932,1997-05-06
1403,2933,1997-05-07
222,2934,1997-05-08
1461,2936,1997-05-12
1462,2937,1997-05-13
1470,2938,1997-05-14
1471,2939,1997-05-15
1472,2940,1997-05-16
1474,2942,1997-05-20
1475,2943,1997-05-21
1476,2944,1997-05-22
2617,2946,1997-05-26
789,2947,1997-05-27
501,2948,1997-05-28
781,2949,1997-05-29
783,2950,1997-05-30
785,2951,1997-06-02
786,2952,1997-06-03
718,2953,1997-06-04
719,2954,1997-06-05
721,2955,1997-06-06
723,2956,1997-06-09
269,2957,1997-06-10
725,2958,1997-06-11
729,2959,1997-06-12
732,2960,1997-06-13
734,2961,1997-06-16
735,2962,1997-06-17
738,2963,1997-06-18
739,2964,1997-06-19
744,2965,1997-06-20
745,2966,1997-06-23
747,2967,1997-06-24
749,2968,1997-06-25
750,2969,1997-06-26
751,2970,1997-06-27
754,2971,1997-06-30
755,2972,1997-07-01
757,2973,1997-07-02
759,2974,1997-07-03
761,2975,1997-07-04
762,2976,1997-07-07
766,2977,1997-07-08
768,2978,1997-07-09
771,2979,1997-07-10
773,2980,1997-07-11
775,2981,1997-07-14
776,2982,1997-07-15
777,2983,1997-07-16
780,2984,1997-07-17
184,2985,1997-07-18
253,2986,1997-09-01
254,2987,1997-09-02
256,2988,1997-09-03
257,2989,1997-09-04
240,2990,1997-09-05
241,2991,1997-09-08
244,2992,1997-09-09
247,2993,1997-09-10
249,2994,1997-09-11
